video_id,video_index,split,fold
RHF_MPM_P01,0,train,1
RHF_MPM_P02,1,test,2
RHF_MPM_P03,2,validation,0
RHF_MPM_P04,3,train,1
RHF_MPM_P05,4,train,4
RHF_MPM_P06,5,validation,3
RHF_MPM_P07,6,test,1
RHF_MPM_P08,7,test,3
RHF_MPM_P09,8,test,2
RHF_MPM_P10,9,train,0
RHF_MPM_P11,10,train,1
RHF_MPM_P12,11,train,3
RHF_MPM_P13,12,validation,3
RHF_MPM_P14,13,validation,2
RHF_MPM_P15,14,test,3
RHF_MPM_P16,15,test,4
RHF_MPM_P17,16,train,4
RHF_MPM_P18,17,test,0
RHF_MPM_P19,18,train,4
RHF_MPM_P20,19,train,4
RHF_MPM_P21,20,train,0
RHF_MPM_P22,21,train,2
RHF_MPM_P23,22,train,3
RHF_MPM_P24,23,train,1
RHF_MPM_P25,24,train,0
RHF_MPM_P26,25,train,2
RHF_MPM_P27,26,train,2
RHF_MPM_P28,27,validation,1
RHF_MPM_P29,28,train,0
RHF_MPM_P30,29,train,4
RHF_MPM_P31,30,train,0
RHF_MPM_P32,31,train,0
RHF_MPM_P33,32,validation,0
RHF_MPM_P34,33,train,1
RHF_MPM_P35,34,test,4
RHF_MPM_P36,35,train,3
RHF_MPM_P37,36,train,1
RHF_MPM_P38,37,validation,2
RHF_MPM_P39,38,train,4
RHF_MPM_P40,39,validation,4
RHF_MPM_P41,40,test,4
RHF_MPM_P42,41,train,2
RHF_MPM_P43,42,train,2
RHF_MPM_P44,43,test,0
RHF_MPM_P45,44,train,3
RHF_MPM_P46,45,validation,3
RHF_MPM_P47,46,train,3
RHF_MPM_P48,47,test,1
RHF_MPM_P49,48,validation,1
RHF_MPM_P50,49,train,2
RHF_MPM_P51,50,train,1
RHF_MPM_P52,51,train,3
RHF_MPM_P53,52,validation,4
RHF_MPM_P54,53,train,2
RHF_MPM_P55,54,train,0
