alarm_definition,method,score_threshold,positive_power_frame_fraction,auroc_probability_score,auprc_probability_score,best_f1_threshold_descriptive,precision,recall,f1,specificity,false_positive_rate,positive_fraction,true_positive,false_positive,false_negative,true_negative,true_events,predicted_events,detected_true_events,event_recall,false_alarm_events,false_alarm_events_per_part,mean_detection_delay_frames,mean_detection_delay_ms
top_10_percent_measured_power,gmm_probability_0.30,0.3,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.24128699144236745,0.6275021758050479,0.34854972375690607,0.7801999944599872,0.21980000554001275,0.2606642158389931,5047,15870,2996,56332,616,2363,543,0.8814935064935064,1721,31.29090909090909,0.6243093922651933,0.031215469613259668
top_10_percent_measured_power,gmm_probability_0.50,0.5,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.24773382237359182,0.5878403580753451,0.3485697434385137,0.8011550926567131,0.1988449073432869,0.23783413296778616,4728,14357,3315,57845,616,2278,531,0.862012987012987,1651,30.01818181818182,0.7740112994350282,0.038700564971751415
top_10_percent_measured_power,gmm_probability_0.70,0.7,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.25258739650413986,0.546189232873306,0.3454295262433654,0.8199634359159026,0.1800365640840974,0.21673624524892518,4393,12999,3650,59203,616,2158,517,0.8392857142857143,1546,28.10909090909091,0.9303675048355899,0.0465183752417795
top_10_percent_measured_power,gmm_probability_0.90,0.9,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.25848842638916686,0.48178540345642173,0.3364591473473995,0.8460430458990056,0.15395695410099444,0.18681537790516542,3875,11116,4168,61086,616,2017,476,0.7727272727272727,1455,26.454545454545453,1.1428571428571428,0.05714285714285714
top_10_percent_measured_power,gmm_probability_best_f1_descriptive,0.5299999999999999,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.2490970894412577,0.5831157528285466,0.34907521119422424,0.8041882496329742,0.19581175036702583,0.23463144121129043,4690,14138,3353,58064,616,2264,529,0.8587662337662337,1634,29.70909090909091,0.7996219281663516,0.03998109640831758
top_10_percent_measured_power,raw_gmm_high_state,nan,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.24773382237359182,0.5878403580753451,0.3485697434385137,0.8011550926567131,0.1988449073432869,0.23783413296778616,4728,14357,3315,57845,616,2278,531,0.862012987012987,1651,30.01818181818182,0.7740112994350282,0.038700564971751415
top_10_percent_measured_power,temporal_gmm_high_state,nan,0.10023054395912517,0.8012107381688828,0.2599147058841541,0.5299999999999999,0.2565646959370212,0.6037548178540345,0.3601038190582128,0.8051162017672641,0.19488379823273594,0.23586516293850085,4856,14071,3187,58131,616,1779,531,0.862012987012987,1233,22.418181818181818,0.6177024482109228,0.03088512241054614
measured_power_at_least_180W,gmm_probability_0.30,0.3,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.6073528708705838,0.6101239074056286,0.6087352356309447,0.8617875233495448,0.13821247665045522,0.2606642158389931,12704,8213,8118,51210,1786,2363,1475,0.8258678611422172,639,11.618181818181819,1.2759322033898306,0.06379661016949154
measured_power_at_least_180W,gmm_probability_0.50,0.5,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.6205920880272465,0.5688214388627413,0.5935800736712857,0.8781448260774447,0.12185517392255524,0.23783413296778616,11844,7241,8978,52182,1786,2278,1424,0.7973124300111982,602,10.945454545454545,1.5554775280898876,0.07777387640449439
measured_power_at_least_180W,gmm_probability_0.70,0.7,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.6338546458141674,0.5294400153683604,0.5769613230753127,0.8928361072312068,0.10716389276879323,0.21673624524892518,11024,6368,9798,53055,1786,2158,1366,0.7648376259798432,551,10.018181818181818,1.842606149341142,0.09213030746705711
measured_power_at_least_180W,gmm_probability_0.90,0.9,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.6540591021279434,0.47089616751512825,0.5475665261217993,0.9127273951163691,0.08727260488363092,0.18681537790516542,9805,5186,11017,54237,1786,2017,1292,0.723404255319149,505,9.181818181818182,2.289473684210526,0.11447368421052631
measured_power_at_least_180W,gmm_probability_best_f1_descriptive,0.05,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.566953178014024,0.722264912112189,0.6352538649995776,0.80669101189775,0.19330898810224997,0.3305626518786217,15039,11487,5783,47936,1786,2591,1573,0.8807390817469205,808,14.690909090909091,0.6586141131595677,0.03293070565797839
measured_power_at_least_180W,raw_gmm_high_state,nan,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.6205920880272465,0.5688214388627413,0.5935800736712857,0.8781448260774447,0.12185517392255524,0.23783413296778616,11844,7241,8978,52182,1786,2278,1424,0.7973124300111982,602,10.945454545454545,1.5554775280898876,0.07777387640449439
measured_power_at_least_180W,temporal_gmm_high_state,nan,0.2594803414542962,0.8463312012722586,0.6353141028439364,0.05,0.6318486817773551,0.5743444433771971,0.6017258295806184,0.8827390067818858,0.1172609932181142,0.23586516293850085,11959,6968,8863,52455,1786,1779,1368,0.7659574468085106,392,7.127272727272727,1.340643274853801,0.06703216374269005
